01/01/2026 00:00:00 - 01/01/2026 00:15:00;104,05
01/01/2026 00:15:00 - 01/01/2026 00:30:00;98,71
01/01/2026 00:30:00 - 01/01/2026 00:45:00;97,98
01/01/2026 00:45:00 - 01/01/2026 01:00:00;91,66
01/01/2026 01:00:00 - 01/01/2026 01:15:00;99,07
01/01/2026 01:15:00 - 01/01/2026 01:30:00;97,24
01/01/2026 01:30:00 - 01/01/2026 01:45:00;93,14
01/01/2026 01:45:00 - 01/01/2026 02:00:00;86,33
01/01/2026 02:00:00 - 01/01/2026 02:15:00;97,5
01/01/2026 02:15:00 - 01/01/2026 02:30:00;89,43
01/01/2026 02:30:00 - 01/01/2026 02:45:00;86,3
01/01/2026 02:45:00 - 01/01/2026 03:00:00;79
01/01/2026 03:00:00 - 01/01/2026 03:15:00;82,61
01/01/2026 03:15:00 - 01/01/2026 03:30:00;77,77
01/01/2026 03:30:00 - 01/01/2026 03:45:00;74,94
01/01/2026 03:45:00 - 01/01/2026 04:00:00;76,65
01/01/2026 04:00:00 - 01/01/2026 04:15:00;69,45
01/01/2026 04:15:00 - 01/01/2026 04:30:00;70,32
01/01/2026 04:30:00 - 01/01/2026 04:45:00;74,25
01/01/2026 04:45:00 - 01/01/2026 05:00:00;74,25
01/01/2026 05:00:00 - 01/01/2026 05:15:00;52,34
01/01/2026 05:15:00 - 01/01/2026 05:30:00;73,18
01/01/2026 05:30:00 - 01/01/2026 05:45:00;75,35
01/01/2026 05:45:00 - 01/01/2026 06:00:00;80,21
01/01/2026 06:00:00 - 01/01/2026 06:15:00;75,59
01/01/2026 06:15:00 - 01/01/2026 06:30:00;80,36
01/01/2026 06:30:00 - 01/01/2026 06:45:00;83,01
01/01/2026 06:45:00 - 01/01/2026 07:00:00;85,99
01/01/2026 07:00:00 - 01/01/2026 07:15:00;83,71
01/01/2026 07:15:00 - 01/01/2026 07:30:00;75,27
01/01/2026 07:30:00 - 01/01/2026 07:45:00;61,11
01/01/2026 07:45:00 - 01/01/2026 08:00:00;48,81
01/01/2026 08:00:00 - 01/01/2026 08:15:00;48,15
01/01/2026 08:15:00 - 01/01/2026 08:30:00;43,09
01/01/2026 08:30:00 - 01/01/2026 08:45:00;43,11
01/01/2026 08:45:00 - 01/01/2026 09:00:00;37,41
01/01/2026 09:00:00 - 01/01/2026 09:15:00;51,02
01/01/2026 09:15:00 - 01/01/2026 09:30:00;46,16
01/01/2026 09:30:00 - 01/01/2026 09:45:00;29,95
01/01/2026 09:45:00 - 01/01/2026 10:00:00;10,25
01/01/2026 10:00:00 - 01/01/2026 10:15:00;15,1
